caminho_original;nome_original;nome_proposto;raiz;confianca;tipo;numero;orgao;data;suspeito
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\DETRAN_DOCUMENTACAO\03_EMPENHOS\htmls_brutos\empenho_DETRAN_view_3207.pdf;empenho_DETRAN_view_3207.pdf;TA_082016_DETRAN_2016-08-18_0d4907.pdf;SPCF_EXTRACAO;0.85;TA;08/2016;DETRAN;2016-08-18;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\DETRAN_DOCUMENTACAO\03_EMPENHOS\htmls_brutos\empenho_DETRAN_view_3733.pdf;empenho_DETRAN_view_3733.pdf;TA_112016_DETRAN_2016-11-23_250143.pdf;SPCF_EXTRACAO;0.85;TA;11/2016;DETRAN;2016-11-23;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\DETRAN_DOCUMENTACAO\03_EMPENHOS\htmls_brutos\empenho_DETRAN_view_3705.pdf;empenho_DETRAN_view_3705.pdf;TA_112016_DETRAN_2016-11-18_96b672.pdf;SPCF_EXTRACAO;0.85;TA;11/2016;DETRAN;2016-11-18;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\DETRAN_DOCUMENTACAO\03_EMPENHOS\htmls_brutos\empenho_DETRAN_view_3737.pdf;empenho_DETRAN_view_3737.pdf;TA_112016_DETRAN_2016-11-23_b57b0b.pdf;SPCF_EXTRACAO;0.85;TA;11/2016;DETRAN;2016-11-23;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\DETRAN_DOCUMENTACAO\03_EMPENHOS\htmls_brutos\empenho_DETRAN_view_3974.pdf;empenho_DETRAN_view_3974.pdf;TA_122016_DETRAN_2016-12-19_15d3d7.pdf;SPCF_EXTRACAO;0.85;TA;12/2016;DETRAN;2016-12-19;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\DETRAN_DOCUMENTACAO\03_EMPENHOS\htmls_brutos\empenho_DETRAN_view_3971.pdf;empenho_DETRAN_view_3971.pdf;TA_122016_DETRAN_2016-12-19_34e0c2.pdf;SPCF_EXTRACAO;0.85;TA;12/2016;DETRAN;2016-12-19;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\DETRAN_DOCUMENTACAO\03_EMPENHOS\htmls_brutos\empenho_DETRAN_view_3975.pdf;empenho_DETRAN_view_3975.pdf;CONTRATO_DETRAN_2016-12-19_39efb8.pdf;SPCF_EXTRACAO;0.65;CONTRATO;;DETRAN;2016-12-19;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\DETRAN_DOCUMENTACAO\03_EMPENHOS\htmls_brutos\empenho_DETRAN_view_3738.pdf;empenho_DETRAN_view_3738.pdf;TA_112016_DETRAN_2016-11-23_b32495.pdf;SPCF_EXTRACAO;0.85;TA;11/2016;DETRAN;2016-11-23;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\DETRAN_DOCUMENTACAO\03_EMPENHOS\htmls_brutos\empenho_DETRAN_view_3976.pdf;empenho_DETRAN_view_3976.pdf;TA_122016_DETRAN_2016-12-19_650f8b.pdf;SPCF_EXTRACAO;0.85;TA;12/2016;DETRAN;2016-12-19;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\DETRAN_DOCUMENTACAO\03_EMPENHOS\htmls_brutos\empenho_DETRAN_view_4112.pdf;empenho_DETRAN_view_4112.pdf;CONTRATO_DETRAN_2017-01-02_c058bc.pdf;SPCF_EXTRACAO;0.65;CONTRATO;;DETRAN;2017-01-02;0
