id;fontes;contrato;comp;emissao;venc_est;valor;situacao;prescrita;exigivel;tem_db;empenhos_qtd
160784;ABERTO+DB+GERAL;018/2021;06/2025;30/06/2025;2025-07-30;14061,84;Emitida;NAO;SIM;SIM;150
160783;ABERTO+DB+GERAL;018/2021;06/2025;30/06/2025;2025-07-30;5316,29;Emitida;NAO;SIM;SIM;150
160785;ABERTO+DB+GERAL;018/2021;06/2025;30/06/2025;2025-07-30;64656,67;Emitida;NAO;SIM;SIM;150
160781;ABERTO+DB+GERAL;018/2021;06/2025;30/06/2025;2025-07-30;10836,76;Parc. Paga;NAO;SIM;SIM;150
160786;ABERTO+DB+GERAL;018/2021;06/2025;30/06/2025;2025-07-30;51804,33;Emitida;NAO;SIM;SIM;150
160780;ABERTO+DB+GERAL;018/2021;06/2025;30/06/2025;2025-07-30;6350,64;Emitida;NAO;SIM;SIM;150
161475;ABERTO+DB+GERAL;018/2021;07/2025;30/07/2025;2025-08-29;20888,40;Emitida;NAO;SIM;SIM;150
161532;ABERTO+DB+GERAL;018/2021;07/2025;30/07/2025;2025-08-29;185399,50;Emitida;NAO;SIM;SIM;150
161533;ABERTO+DB+GERAL;018/2021;07/2025;30/07/2025;2025-08-29;114100,00;Emitida;NAO;SIM;SIM;150
161534;ABERTO+DB+GERAL;018/2021;07/2025;30/07/2025;2025-08-29;151234,43;Emitida;NAO;SIM;SIM;150
161531;ABERTO+DB+GERAL;018/2021;07/2025;30/07/2025;2025-08-29;42644,00;Emitida;NAO;SIM;SIM;150
161474;ABERTO+DB+GERAL;018/2021;07/2025;30/07/2025;2025-08-29;11207,02;Emitida;NAO;SIM;SIM;150
161932;ABERTO+DB+GERAL;021/2021;08/2025;21/08/2025;2025-09-20;30546,53;Parc. Paga;NAO;SIM;SIM;68
161934;ABERTO+DB+GERAL;021/2021;08/2025;21/08/2025;2025-09-20;10194,40;Emitida;NAO;SIM;SIM;68
161931;ABERTO+DB+GERAL;021/2021;08/2025;21/08/2025;2025-09-20;10984,61;Emitida;NAO;SIM;SIM;68
161933;ABERTO+DB+GERAL;021/2021;08/2025;21/08/2025;2025-09-20;54229,44;Emitida;NAO;SIM;SIM;68
162228;ABERTO+DB+GERAL;005/2021;08/2025;25/08/2025;2025-09-24;121,96;Emitida;NAO;SIM;SIM;144
162227;ABERTO+DB+GERAL;005/2021;08/2025;25/08/2025;2025-09-24;35990,46;Emitida;NAO;SIM;SIM;144
163045;ABERTO+DB+GERAL;021/2021;09/2025;25/09/2025;2025-10-25;160469,55;Emitida;NAO;SIM;SIM;68
163041;ABERTO+DB+GERAL;005/2021;09/2025;25/09/2025;2025-10-25;35990,46;Emitida;NAO;SIM;SIM;144
163042;ABERTO+DB+GERAL;005/2021;09/2025;25/09/2025;2025-10-25;121,96;Emitida;NAO;SIM;SIM;144
163048;ABERTO+DB+GERAL;021/2021;09/2025;25/09/2025;2025-10-25;32504,44;Emitida;NAO;SIM;SIM;68
163046;ABERTO+DB+GERAL;021/2021;09/2025;25/09/2025;2025-10-25;66565,09;Emitida;NAO;SIM;SIM;68
163047;ABERTO+DB+GERAL;021/2021;09/2025;25/09/2025;2025-10-25;30166,20;Emitida;NAO;SIM;SIM;68
163137;ABERTO+DB+GERAL;018/2021;09/2025;30/09/2025;2025-10-30;69466,03;Emitida;NAO;SIM;SIM;150
163134;ABERTO+DB+GERAL;018/2021;09/2025;30/09/2025;2025-10-30;9381,68;Emitida;NAO;SIM;SIM;150
163135;ABERTO+DB+GERAL;018/2021;09/2025;30/09/2025;2025-10-30;29478,52;Emitida;NAO;SIM;SIM;150
163044;ABERTO+DB+GERAL;018/2021;09/2025;30/09/2025;2025-10-30;20888,40;Emitida;NAO;SIM;SIM;150
163136;ABERTO+DB+GERAL;018/2021;09/2025;30/09/2025;2025-10-30;114100,00;Emitida;NAO;SIM;SIM;150
163043;ABERTO+DB+GERAL;018/2021;09/2025;30/09/2025;2025-10-30;11207,02;Emitida;NAO;SIM;SIM;150
163915;ABERTO+DB+GERAL;021/2021;10/2025;29/10/2025;2025-11-28;66565,09;Emitida;NAO;SIM;SIM;68
163916;ABERTO+DB+GERAL;021/2021;10/2025;29/10/2025;2025-11-28;30166,20;Emitida;NAO;SIM;SIM;68
163914;ABERTO+DB+GERAL;021/2021;10/2025;29/10/2025;2025-11-28;160469,55;Emitida;NAO;SIM;SIM;68
163917;ABERTO+DB+GERAL;021/2021;10/2025;29/10/2025;2025-11-28;32504,44;Emitida;NAO;SIM;SIM;68
165034;ABERTO+DB+GERAL;005/2021;12/2025;02/12/2025;2026-01-01;121,96;Emitida;NAO;SIM;SIM;144
165033;ABERTO+DB+GERAL;005/2021;12/2025;02/12/2025;2026-01-01;35990,46;Emitida;NAO;SIM;SIM;144
89454;ABERTO;C.116/2013;08/2015;31/08/2015;2015-09-30;56764,21;;SIM;NAO;NAO;0
166665;ABERTO+GERAL;C.21/2021;02/2026;25/02/2026;2026-03-27;32504,44;Emitida;NAO;SIM;NAO;0
166663;ABERTO+GERAL;C.21/2021;02/2026;25/02/2026;2026-03-27;66565,09;Emitida;NAO;SIM;NAO;0
166662;ABERTO+GERAL;C.21/2021;02/2026;25/02/2026;2026-03-27;160469,55;Emitida;NAO;SIM;NAO;0
