id;numero;contrato_ref;valor;situacao;data_emissao;descricao
17150;2022NE0000442;8/2021;48430,71;Ativo;11/04/2022;Prestação de serviços de fornecimento e execução dos sistemas plataforma web Sproweb e plataforma Prodam RH para atender as necessidades do Departamento Estadual de Trânsito do Amazonas - DETRAN/AM. 1º TERMO ADITIVO AO CONTRATO Nº 08/2021, DISPENSA DE LICITAÇÃO ART. 24 XVI LEI Nº8.666/93 PORTARIA Nº50/2021/DETRAN/AM, PUBLICADA D.O.E. DE 17/03/2021.
21249;2024NE0002144;;719575,23;Ativo;10/12/2024;SERVIÇOS DE EXECUÇÃO DE SISTEMA- CORRESPONDENTE AO PERÍODO DE 2021- PAGAMENTO PARCIAL- PARECER JURÍDICO N° 275 CO M EMISSÃO NA DATA DO DIA: 28/11/2024- AJUR/DETRAN.
13559;2020NE01084;17/2015;585710,92;Ativo;10/11/2020;Reforço NE nº 2020NE00718 referente contratação de empresa especializada na prestação de serviços de data center, compreendendo a hospedagem de servidores web do órgão solicitante, acesso aos serv. Através da web e processamento de dados para transações executadas com a base nacional. 6º TERMO DE ADITAMENTO AO CONTRATO Nº017/2015, OBJETO: PRORROGAÇÃO DE PRAZO, 12 meses, DISPENSA DE LICITAÇÃO ART.24 XVI LEI Nº8.666/93, PORTARIA Nº2563/2015/DETRAN/AM/AJUR, PUBLICADA D.O.E. DE 07/07/2015.
13560;2020NE01086;22/2014;479250,38;Ativo;10/11/2020;Serv processamento de dados diário sistemas Controle Infrações de Trãnsito-SCIT, Controle Veículos, Multas, e Talonários-CVMT- integrando-se ao RENAVAM, Carteira Nacional de Habilitação-SCNH, integrando-se ao RENACH e Controle de Frota de Veículos. 7º TERMO DE ADITAMENTO AO CONTRATO Nº022/2014, VIGÊNCIA: 06 MESES 25/05/2020 A 25/11/2020, DISPENSA DE LICITAÇÃO ART.24 XVI LEI Nº 8.666/93, PORTARIA Nº3107/2014/DETRAN/AM/AJUR, PUBLICADA D.O.E. DE 24/11/2014 EDIÇÃO Nº32.931
13562;2020NE01088;25/2014;106538,66;Ativo;10/11/2020;REFORÇO DA NE.466 DE 20/05/20 7º TERMO ADT. CONTR.Nº025/2014-SV.DE MANUT. DOS SISTEMAS,COMPREENDENDO SUPORTE TEC. MANUT.CORRETIVA, EVOLUTIVA E ASS.TÉCNICA DISPENSA DE LICITAÇÃO ART.24 XVI LEI Nº8.666/93, PORTARIA Nº3128/2014/DETRAN/AM/AJUR, PUBLICADA D.O.E. DE 25/11/2014 EDIÇÃO Nº32.932
20788;2024NE0001524;10/2021;1898348,04;Ativo;10/09/2024;Solicitação de Pagamento, referente a serviços de Software das NFS° 40481, 40482, 40483, 41184, 41185, 41186, 41187, 41493, 42468 e 42472.
1282;2015NE00771;28/2012;24971,64;Ativo;10/09/2015;COBERTURA 2015- 3ºTA
10363;2018NE00790;17/2015;732138,65;Ativo;10/08/2018;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA PRESTAÇÃO DE SERVIÇOS DE DATA CENTER, COMPREENDENDO A HOSPEDAGEM DE SERVIDORES WEB DO ÓRGÃO SOLICITANTE, ACESSO AOS SERV. ATRAVÉS DA WEB E PROCESSAMENTO DE DADOS PARA TRANSAÇÕES EXECUTADAS COM A BASE NACIONAL. PORTARIA Nº2563/2015/DETRAN/AM/AJUR PUBLIC.D.O.E. DE 07/07/2015 3º TERMO ADITIVO CONTRATO Nº017/2015 OBJETO PRORROGAÇÃO DE PRAZO VIGENCIA 12 MESES 13/08/18 A 12/08/19
950;2015NE00638;27/2014;112440,69;Ativo;10/08/2015;cobertura supressão 2015
1998;2015NE00637;27/2014;117000,69;Ativo;10/08/2015;anulação do saldo da ne. nº0034 de 05/01/2015 correspondnte ao cronograma de desmbolso do s meses de agosto a outubro/2015 contrato nº27/2014 disp.licitação port.nº3126/2014/detran public.d.o.e. de 25/11/14 rdl nº024/2014-e-compras
949;2015NE00636;25/2014;319615,98;Ativo;10/08/2015;COBERTURA SUPRESSÃO 2015
1464;2015NE00635;25/2014;519363,0;Ativo;10/08/2015;ANULAÇÃO DO SALDO DA NE.0030 DE 05/01/2015 REF.AO CONTRATO Nº25/2014 SERVIÇO DE MANUTENÇÃO DE SOFTWARE, EM CUMPRIMENTO AO DECRETO Nº35.616 DE 26/02/15 PARA REDUÇÃO DO CONTRATO
18695;2023NE0001316;12/2021;892073,0;Ativo;10/07/2023;Contratação de serviços técnicos de informática, compreendendo o desenvolvimento de sistema de informação, visando atender as necessidades deste Departamento Estadual de Trânsito do Amazonas. PARECER Nº 760/2023 (pág.52) TC: 0012/2021 AD: 02.
21710;2025NE0000310;;1820097,4;Ativo;10/03/2025;"ANULAÇÃO NE Nº 2025NE000306 - Contrato Nº 0010/2021 Aditivo Nº 03, Contratação de empresa para prestação de serviços de fornecimento de software com a disponibilização de uma solução de gestão de trânsito, em infraestrutura de nuvem, para atender as necessidades deste DETRAN/AM. Fundamento Legal: Dispensa de Licitação nº 251/2021, de acordo com Art.24; XVI; Lei 8.666/93, homologação publicada no dia 19/05/2021."
21711;2025NE0000311;10/2021;1820097,4;Ativo;10/03/2025;Contratação de empresa para prestação de serviços de fornecimento de software com a disponibilização de uma solução de gestão de trânsito, em infraestrutura de nuvem, para atender as necessidades deste DETRAN/AM. TC: 0010/2021 AD: 03.
1538;2015NE00759;21/2014;5967,0;Ativo;09/09/2015;ANULAÇÃO DO SALDO DA NE. Nº0026 DE 05/01/2015 REFERENTE CONTRATO Nº021/2014, MOTIVO DA ANULAÇÃO: DISTRATO Nº002/2015/DETRAN PUBLICAÇÃO D.O.E. DE 02/09/2015 Nº33.117
1479;2015NE00760;26/2014;77947,05;Ativo;09/09/2015;ANULAÇÃO DO SALDO DA NE. ESTIMATIVA Nº00031 DE 05/01/2015 RELATIVO CONTRATO Nº026/2014, MOTIVO DA ANULAÇÃO DISTRATO Nº003/2015/DETRAN, PUBLICADO D.O.E. DE 02/09/2015
14735;2021NE0001152;;474510,32;Ativo;08/11/2021;Anulação: Encerramento de Sistema para Movimentações Orçamentárias e Economicidade Contratual.
13125;2020NE00538;;1221613,96;Ativo;08/07/2020;Anulação da NE 510/2020 para ajuste orçamentário.
13129;2020NE00540;;958500,76;Ativo;08/07/2020;Anulação da NE 467/2020 para ajuste orçamentário.
13128;2020NE00542;;90705,6;Ativo;08/07/2020;Anulação da NE 469/2020 para ajuste orçamentário.
13126;2020NE00539;;46921,0;Ativo;08/07/2020;Anulação da NE 312/2020 para ajuste orçamentário.
13127;2020NE00541;;213077,32;Ativo;08/07/2020;Anulação da NE 466/2020 para ajuste orçamentário.
17361;2022NE0000683;10/2021;1365073,05;Ativo;08/06/2022;Contratação de empresa especializada na prestação de serviços de fornecimento de software com a disponibilização de uma solução de gestão de trânsito, em infraestrutura de nuvem, para atender as necessidades deste Departamento Estadual de Trânsito. 1º TERMO ADITIVO AO CONTRATO Nº 10/2021, FUNDAMENTO LEGAL: DISPENSA DE LICITAÇÃO ART. 24, XVI LEI Nº 8.666/93, PORTARIA Nº 251/2021-DETRAN/AM.
22600;2025NE0001662;;237036,54;Ativo;07/10/2025;"ANULAÇÃO NE Nº 2025NE000005 - Contrato nº 0012/2021 Aditivo nº 04, Contratação de serviços técnicos de informática, compreendendo o desenvolvimento de sistema de informação, visando atender as necessidades deste Departamento Estadual de Trânsito do Amazonas. Fundamento Legal: Dispensa de Licitação nº 0284/2021, de acordo com Art.24; XVI; Lei 8.666/93, homologação publicada no dia 10/06/2021."
22599;2025NE0001661;;154025,76;Ativo;07/10/2025;"ANULAÇÃO NE Nº 2025NE000004 - Contrato nº 0010/2021 Aditivo nº 03, Contratação de empresa para prestação de serviços de fornecimento de software com a disponibilização de uma solução de gestão de trânsito, em infraestrutura de nuvem, para atender as necessidades deste DETRAN/AM. Fundamento Legal: Dispensa de Licitação nº 251/2021, de acordo com Art.24; XVI; Lei 8.666/93, homologação publicada no dia 19/05/2022."
