id;nf;contrato;comp;valor;situacao;cadeia;protegida;motivo
135488;31972;6/2021;09/2022;15808,0;Emitida;COMPLETA;True;interrompida_por_2026NE0000006
136193;32775;6/2021;10/2022;15808,0;Emitida;COMPLETA;True;interrompida_por_2026NE0000006
136864;33437;6/2021;11/2022;15808,0;Emitida;COMPLETA;True;interrompida_por_2026NE0000006
137475;34037;6/2021;12/2022;15808,0;Emitida;COMPLETA;True;interrompida_por_2026NE0000006
165065;60043;6/2021;12/2025;7824,86;Emitida;COMPLETA;True;interrompida_por_2026NE0000006
155743;50934;8/2021;12/2024;5486,14;Emitida;COMPLETA;True;interrompida_por_2026NE0000007
165619;60533;8/2021;12/2025;5168,78;Emitida;FORTE;True;interrompida_por_2026NE0000007
165068;60047;6/2021;12/2025;4052,8;Emitida;COMPLETA;True;interrompida_por_2026NE0000006
165063;60046;6/2021;12/2025;1723,49;Emitida;COMPLETA;True;interrompida_por_2026NE0000006
165071;59981;83/2022;12/2025;1025,03;Emitida;FORTE;True;interrompida_por_2026NE0000010
165069;60534;8/2021;12/2025;984,02;Emitida;COMPLETA;True;interrompida_por_2026NE0000007
165066;60040;6/2021;12/2025;604,16;Emitida;COMPLETA;True;interrompida_por_2026NE0000006
