caminho;nome;raiz;tipo_original;confianca_original;tipo_reclass;numero_reclass;orgao;data;size_bytes;mudou;fonte_tipo
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_11074_DETRAN.pdf;empenho_11074_DETRAN.pdf;SPCF_EXTRACAO;TA;0.85;NE;11074;DETRAN;2018-12-28;70380;1;path
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_11327_DETRAN.pdf;empenho_11327_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;0.65;NE;11327;DETRAN;2019-02-25;70199;1;path
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_11265_DETRAN.pdf;empenho_11265_DETRAN.pdf;SPCF_EXTRACAO;TA;0.85;NE;11265;DETRAN;2018-12-28;70671;1;path
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_11544_DETRAN.pdf;empenho_11544_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;0.85;NE;11544;DETRAN;2019-04-01;72050;1;path
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_11231_DETRAN.pdf;empenho_11231_DETRAN.pdf;SPCF_EXTRACAO;TA;0.85;NE;11231;DETRAN;2018-12-28;70674;1;path
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_11251_DETRAN.pdf;empenho_11251_DETRAN.pdf;SPCF_EXTRACAO;TA;0.85;NE;11251;DETRAN;2018-12-28;70660;1;path
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_11325_DETRAN.pdf;empenho_11325_DETRAN.pdf;SPCF_EXTRACAO;TA;0.85;NE;11325;DETRAN;2019-02-25;70629;1;path
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_11076_DETRAN.pdf;empenho_11076_DETRAN.pdf;SPCF_EXTRACAO;TA;0.85;NE;11076;DETRAN;2018-12-28;70658;1;path
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_11508_DETRAN.pdf;empenho_11508_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;0.85;NE;11508;DETRAN;2019-04-01;72139;1;path
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_11324_DETRAN.pdf;empenho_11324_DETRAN.pdf;SPCF_EXTRACAO;TA;0.85;NE;11324;DETRAN;2019-02-25;70630;1;path
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_11554_DETRAN.pdf;empenho_11554_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;0.85;NE;11554;DETRAN;2019-04-01;70786;1;path
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_11781_DETRAN.pdf;empenho_11781_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;0.85;NE;11781;DETRAN;2019-07-01;70490;1;path
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_11514_DETRAN.pdf;empenho_11514_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;0.65;NE;11514;DETRAN;2019-04-01;71300;1;path
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_11547_DETRAN.pdf;empenho_11547_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;0.65;NE;11547;DETRAN;2019-04-01;71078;1;path
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_11783_DETRAN.pdf;empenho_11783_DETRAN.pdf;SPCF_EXTRACAO;TA;0.85;NE;11783;DETRAN;2019-07-01;70837;1;path
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_11564_DETRAN.pdf;empenho_11564_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;0.65;NE;11564;DETRAN;2019-04-01;73824;1;path
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_11774_DETRAN.pdf;empenho_11774_DETRAN.pdf;SPCF_EXTRACAO;TA;0.85;NE;11774;DETRAN;2019-07-01;70814;1;path
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_11769_DETRAN.pdf;empenho_11769_DETRAN.pdf;SPCF_EXTRACAO;TA;0.85;NE;11769;DETRAN;2019-07-01;70485;1;path
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_11841_DETRAN.pdf;empenho_11841_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;0.65;NE;11841;DETRAN;2019-07-05;70240;1;path
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_12293_DETRAN.pdf;empenho_12293_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;0.65;NE;12293;DETRAN;2019-11-22;70241;1;path
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_11549_DETRAN.pdf;empenho_11549_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;0.85;NE;11549;DETRAN;2019-04-01;71232;1;path
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_12294_DETRAN.pdf;empenho_12294_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;0.65;NE;12294;DETRAN;2019-11-22;70674;1;path
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_12292_DETRAN.pdf;empenho_12292_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;0.65;NE;12292;DETRAN;2019-11-22;72052;1;path
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_12295_DETRAN.pdf;empenho_12295_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;0.65;NE;12295;DETRAN;2019-11-22;70371;1;path
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_12296_DETRAN.pdf;empenho_12296_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;0.85;NE;12296;DETRAN;2019-11-22;70686;1;path
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_12538_DETRAN.pdf;empenho_12538_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;0.85;NE;12538;DETRAN;2020-01-02;70721;1;path
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_12497_DETRAN.pdf;empenho_12497_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;0.85;NE;12497;DETRAN;2020-01-02;72220;1;path
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_12530_DETRAN.pdf;empenho_12530_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;0.85;NE;12530;DETRAN;2020-01-02;70581;1;path
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_12554_DETRAN.pdf;empenho_12554_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;0.85;NE;12554;DETRAN;2020-01-02;71573;1;path
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_12646_DETRAN.pdf;empenho_12646_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;0.85;NE;12646;DETRAN;2020-01-02;72769;1;path
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_11842_DETRAN.pdf;empenho_11842_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;0.65;NE;11842;DETRAN;2019-07-05;70658;1;path
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_12647_DETRAN.pdf;empenho_12647_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;0.65;NE;12647;DETRAN;2020-01-02;71943;1;path
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_12651_DETRAN.pdf;empenho_12651_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;0.65;NE;12651;DETRAN;2020-01-02;71943;1;path
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_12595_DETRAN.pdf;empenho_12595_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;0.85;NE;12595;DETRAN;2020-01-02;71094;1;path
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_1282_DETRAN.pdf;empenho_1282_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;0.65;NE;1282;DETRAN;2015-09-10;70326;1;path
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_12567_DETRAN.pdf;empenho_12567_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;0.85;NE;12567;DETRAN;2020-01-02;71405;1;path
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_12791_DETRAN.pdf;empenho_12791_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;0.65;NE;12791;DETRAN;2019-12-30;70992;1;path
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_12800_DETRAN.pdf;empenho_12800_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;0.65;NE;12800;DETRAN;2019-12-30;70565;1;path
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_12649_DETRAN.pdf;empenho_12649_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;0.65;NE;12649;DETRAN;2020-01-02;70881;1;path
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_13125_DETRAN.pdf;empenho_13125_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;0.65;NE;13125;DETRAN;2020-07-08;70036;1;path
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_12796_DETRAN.pdf;empenho_12796_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;0.65;NE;12796;DETRAN;2019-12-30;70716;1;path
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_13128_DETRAN.pdf;empenho_13128_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;0.65;NE;13128;DETRAN;2020-07-08;70034;1;path
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_12341_DETRAN.pdf;empenho_12341_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;0.85;NE;12341;DETRAN;2019-12-02;71415;1;path
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_13127_DETRAN.pdf;empenho_13127_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;0.65;NE;13127;DETRAN;2020-07-08;70036;1;path
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_12653_DETRAN.pdf;empenho_12653_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;0.65;NE;12653;DETRAN;2020-01-02;72330;1;path
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_13126_DETRAN.pdf;empenho_13126_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;0.65;NE;13126;DETRAN;2020-07-08;70036;1;path
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_12847_DETRAN.pdf;empenho_12847_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;0.85;NE;12847;DETRAN;2019-12-30;70695;1;path
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_13263_DETRAN.pdf;empenho_13263_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;0.65;NE;13263;DETRAN;2020-08-12;71067;1;path
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_13129_DETRAN.pdf;empenho_13129_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;0.65;NE;13129;DETRAN;2020-07-08;70031;1;path
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_13472_DETRAN.pdf;empenho_13472_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;0.85;NE;13472;DETRAN;2020-10-26;70651;1;path
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_13266_DETRAN.pdf;empenho_13266_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;0.85;NE;13266;DETRAN;2020-08-12;71591;1;path
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_13267_DETRAN.pdf;empenho_13267_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;0.65;NE;13267;DETRAN;2020-08-12;71398;1;path
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_13475_DETRAN.pdf;empenho_13475_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;0.65;NE;13475;DETRAN;2020-10-26;70090;1;path
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_13560_DETRAN.pdf;empenho_13560_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;0.85;NE;13560;DETRAN;2020-11-10;73300;1;path
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_13559_DETRAN.pdf;empenho_13559_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;0.85;NE;13559;DETRAN;2020-11-10;74344;1;path
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_13477_DETRAN.pdf;empenho_13477_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;0.85;NE;13477;DETRAN;2020-10-26;70269;1;path
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_13476_DETRAN.pdf;empenho_13476_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;0.85;NE;13476;DETRAN;2020-10-26;70589;1;path
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_13562_DETRAN.pdf;empenho_13562_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;0.65;NE;13562;DETRAN;2020-11-10;72115;1;path
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_13264_DETRAN.pdf;empenho_13264_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;0.65;NE;13264;DETRAN;2020-08-12;71561;1;path
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_13743_DETRAN.pdf;empenho_13743_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;0.65;NE;13743;DETRAN;2020-12-31;71267;1;path
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_13474_DETRAN.pdf;empenho_13474_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;0.65;NE;13474;DETRAN;2020-10-26;70670;1;path
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_13585_DETRAN.pdf;empenho_13585_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;0.85;NE;13585;DETRAN;2020-11-11;72849;1;path
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_13745_DETRAN.pdf;empenho_13745_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;0.65;NE;13745;DETRAN;2020-12-31;71423;1;path
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_13746_DETRAN.pdf;empenho_13746_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;0.65;NE;13746;DETRAN;2020-12-31;71420;1;path
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_13742_DETRAN.pdf;empenho_13742_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;0.65;NE;13742;DETRAN;2020-12-31;70800;1;path
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_13586_DETRAN.pdf;empenho_13586_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;0.85;NE;13586;DETRAN;2020-11-11;71408;1;path
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_13588_DETRAN.pdf;empenho_13588_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;0.85;NE;13588;DETRAN;2020-11-11;72364;1;path
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_13587_DETRAN.pdf;empenho_13587_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;0.85;NE;13587;DETRAN;2020-11-11;72310;1;path
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_13747_DETRAN.pdf;empenho_13747_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;0.65;NE;13747;DETRAN;2020-12-31;71422;1;path
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_13748_DETRAN.pdf;empenho_13748_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;0.65;NE;13748;DETRAN;2020-12-31;71422;1;path
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_13751_DETRAN.pdf;empenho_13751_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;0.65;NE;13751;DETRAN;2020-12-31;71419;1;path
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_1405_DETRAN.pdf;empenho_1405_DETRAN.pdf;SPCF_EXTRACAO;TA;0.85;NE;1405;DETRAN;2015-09-25;71421;1;path
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_14105_DETRAN.pdf;empenho_14105_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;0.65;NE;14105;DETRAN;2021-03-25;71226;1;path
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_14445_DETRAN.pdf;empenho_14445_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;0.65;NE;14445;DETRAN;2021-07-30;73304;1;path
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_1396_DETRAN.pdf;empenho_1396_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;0.85;NE;1396;DETRAN;2015-02-06;71997;1;path
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_13750_DETRAN.pdf;empenho_13750_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;0.65;NE;13750;DETRAN;2020-12-31;71424;1;path
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_13744_DETRAN.pdf;empenho_13744_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;0.65;NE;13744;DETRAN;2020-12-31;71424;1;path
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_13749_DETRAN.pdf;empenho_13749_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;0.65;NE;13749;DETRAN;2020-12-31;70951;1;path
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_14446_DETRAN.pdf;empenho_14446_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;0.65;NE;14446;DETRAN;2021-07-30;70688;1;path
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_14561_DETRAN.pdf;empenho_14561_DETRAN.pdf;SPCF_EXTRACAO;TA;0.85;NE;14561;DETRAN;2021-08-24;73705;1;path
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_14560_DETRAN.pdf;empenho_14560_DETRAN.pdf;SPCF_EXTRACAO;TA;0.85;NE;14560;DETRAN;2021-08-24;73982;1;path
