nome_original;nome_novo;tipo;numero;orgao;cnpj;data;valor_principal;procedencia;estagio;score;confianca;caminho_original;caminho_novo;erro
01.01.028101.0412252024-35-OK.pdf;TA_202022_SEDUC_2024-11-29_a8e6c3.pdf;TA;20/2022;SEDUC;04407920000180;2024-11-29;19963695.60;P1-DOC;nativo;1.0;1.0;C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\SEDUC_CONSOLIDADO\06_COBRANCAS\01.01.028101.0412252024-35-OK.pdf;C:\Users\gabri\Desktop\DETRAN_AUDITORIA_COMPLETA\20_OCR_OUTPUT\pesquisaveis\PRODAM_OrgaosM_Z\TA_202022_SEDUC_2024-11-29_a8e6c3.pdf;
01.01.028101.0415792024-80-OK.pdf;TA_232021_SEDUC_2025-09-16_f7f96c.pdf;TA;23/2021;SEDUC;04407920000180;2025-09-16;13129027.99;P1-DOC;nativo;1.0;1.0;C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\SEDUC_CONSOLIDADO\06_COBRANCAS\01.01.028101.0415792024-80-OK.pdf;C:\Users\gabri\Desktop\DETRAN_AUDITORIA_COMPLETA\20_OCR_OUTPUT\pesquisaveis\PRODAM_OrgaosM_Z\TA_232021_SEDUC_2025-09-16_f7f96c.pdf;
01.01.028101.0419082024-92-OK.pdf;TA_1036311_SEDUC_2024-12-06_a3cacc.pdf;TA;103/6311;SEDUC;04407920000180;2024-12-06;3552246.72;P1-DOC;nativo;1.0;1.0;C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\SEDUC_CONSOLIDADO\06_COBRANCAS\01.01.028101.0419082024-92-OK.pdf;C:\Users\gabri\Desktop\DETRAN_AUDITORIA_COMPLETA\20_OCR_OUTPUT\pesquisaveis\PRODAM_OrgaosM_Z\TA_1036311_SEDUC_2024-12-06_a3cacc.pdf;
01.01.028101.0423882024-35-OK.pdf;TA_1016201_SEDUC_2025-01-09_8a2f66.pdf;TA;101/6201;SEDUC;04407920000180;2025-01-09;19963695.60;P1-DOC;nativo;1.0;1.0;C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\SEDUC_CONSOLIDADO\06_COBRANCAS\01.01.028101.0423882024-35-OK.pdf;C:\Users\gabri\Desktop\DETRAN_AUDITORIA_COMPLETA\20_OCR_OUTPUT\pesquisaveis\PRODAM_OrgaosM_Z\TA_1016201_SEDUC_2025-01-09_8a2f66.pdf;
01.05.016503.000610-2025-43.pdf;CONTRATO_SEDUC_2025-02-12_f470e3.pdf;CONTRATO;;SEDUC;03000610202543;2025-02-12;;P1-DOC;nativo;1.0;0.8;C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\SEDUC_CONSOLIDADO\06_COBRANCAS\01.05.016503.000610-2025-43.pdf;C:\Users\gabri\Desktop\DETRAN_AUDITORIA_COMPLETA\20_OCR_OUTPUT\pesquisaveis\PRODAM_OrgaosM_Z\CONTRATO_SEDUC_2025-02-12_f470e3.pdf;
01.05.016503.000610.2025-43.pdf;CONTRATO_SEDUC_2025-02-12_612e1b.pdf;CONTRATO;;SEDUC;03000610202543;2025-02-12;;P1-DOC;nativo;1.0;0.8;C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\SEDUC_CONSOLIDADO\06_COBRANCAS\01.05.016503.000610.2025-43.pdf;C:\Users\gabri\Desktop\DETRAN_AUDITORIA_COMPLETA\20_OCR_OUTPUT\pesquisaveis\PRODAM_OrgaosM_Z\CONTRATO_SEDUC_2025-02-12_612e1b.pdf;
01.05.016503.000627_2024_10.pdf;CONTRATO_SEDUC_2024-02-28_50c0b2.pdf;CONTRATO;;SEDUC;03000627202410;2024-02-28;;P1-DOC;nativo;1.0;0.8;C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\SEDUC_CONSOLIDADO\06_COBRANCAS\01.05.016503.000627_2024_10.pdf;C:\Users\gabri\Desktop\DETRAN_AUDITORIA_COMPLETA\20_OCR_OUTPUT\pesquisaveis\PRODAM_OrgaosM_Z\CONTRATO_SEDUC_2024-02-28_50c0b2.pdf;
01.05.016503.001093_2021_04.pdf;CONTRATO_SEDUC_2021-03-31_184bce.pdf;CONTRATO;;SEDUC;;2021-03-31;;P1-DOC;nativo;1.0;0.65;C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\SEDUC_CONSOLIDADO\06_COBRANCAS\01.05.016503.001093_2021_04.pdf;C:\Users\gabri\Desktop\DETRAN_AUDITORIA_COMPLETA\20_OCR_OUTPUT\pesquisaveis\PRODAM_OrgaosM_Z\CONTRATO_SEDUC_2021-03-31_184bce.pdf;
01.05.016503.001283_2023_85 - COMPLETO.pdf;CONTRATO_142018_SEDUC_2023-05-17_d28879.pdf;CONTRATO;14/2018;SEDUC;03001283202385;2023-05-17;20160.40;P1-DOC;nativo;1.0;1.0;C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\SEDUC_CONSOLIDADO\06_COBRANCAS\01.05.016503.001283_2023_85 - COMPLETO.pdf;C:\Users\gabri\Desktop\DETRAN_AUDITORIA_COMPLETA\20_OCR_OUTPUT\pesquisaveis\PRODAM_OrgaosM_Z\CONTRATO_142018_SEDUC_2023-05-17_d28879.pdf;
01.05.016503.001283_2023_85_Carta.pdf;01.05.016503.001283_2023_85_Ca_revisar_555a3b.pdf;OUTRO;;SEDUC;;;;P1-DOC;nativo;1.0;0.15;C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\SEDUC_CONSOLIDADO\06_COBRANCAS\01.05.016503.001283_2023_85_Carta.pdf;C:\Users\gabri\Desktop\DETRAN_AUDITORIA_COMPLETA\20_OCR_OUTPUT\pesquisaveis\PRODAM_OrgaosM_Z\01.05.016503.001283_2023_85_Ca_revisar_555a3b.pdf;
