caminho_original;nome_original;nome_proposto;raiz;tipo_reclass;tipo_original;mudou_tipo;numero;orgao;data
C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\DETRAN_CONSOLIDADO\01_CONTRATOS\PROPOSTA 71.2022.PDF;PROPOSTA 71.2022.PDF;CONTRATO_eb6c08.pdf;DETRAN_CONSOLIDADO;CONTRATO;CONTRATO;0;;DETRAN;
C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\DETRAN_CONSOLIDADO\02_EMPENHOS\DIRAF 337.2021  ASSINADA.ocr.pdf;DIRAF 337.2021  ASSINADA.ocr.pdf;NE-2021-ID004/2016_DETRAN_2021-10-26_0df10b.pdf;DETRAN_CONSOLIDADO;NE;CONTRATO;1;004/2016;DETRAN;2021-10-26
C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\DETRAN_CONSOLIDADO\02_EMPENHOS\NE 007 Cobertura Financeira.pdf;NE 007 Cobertura Financeira.pdf;NE-2023-ID007_DETRAN_2023-01-02_1c3caf.pdf;DETRAN_CONSOLIDADO;NE;NE;0;007;DETRAN;2023-01-02
C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\DETRAN_CONSOLIDADO\02_EMPENHOS\NE 008 Cobertura Financeira.pdf;NE 008 Cobertura Financeira.pdf;NE-2023-ID008_DETRAN_2023-01-02_acd98a.pdf;DETRAN_CONSOLIDADO;NE;NE;0;008;DETRAN;2023-01-02
C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\DETRAN_CONSOLIDADO\02_EMPENHOS\NE 028 Cobertura Financeira.pdf;NE 028 Cobertura Financeira.pdf;NE-2022-ID028_DETRAN_2022-01-03_9261d5.pdf;DETRAN_CONSOLIDADO;NE;NE;0;028;DETRAN;2022-01-03
C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\DETRAN_CONSOLIDADO\02_EMPENHOS\NE 006 Cobertura Financeira__31f8e36c6e.pdf;NE 006 Cobertura Financeira__31f8e36c6e.pdf;NE-2025-ID006_DETRAN_2025-01-02_6529a8.pdf;DETRAN_CONSOLIDADO;NE;NE;0;006;DETRAN;2025-01-02
C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\DETRAN_CONSOLIDADO\02_EMPENHOS\NE 006 Cobertura Financeira.pdf;NE 006 Cobertura Financeira.pdf;NE-2023-ID006_DETRAN_2023-01-02_359fd6.pdf;DETRAN_CONSOLIDADO;NE;NE;0;006;DETRAN;2023-01-02
C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\DETRAN_CONSOLIDADO\02_EMPENHOS\NE 035 - Cobertura Financeira.pdf;NE 035 - Cobertura Financeira.pdf;NE-2021-ID035_DETRAN_2021-01-29_2fd2e8.pdf;DETRAN_CONSOLIDADO;NE;NE;0;035;DETRAN;2021-01-29
C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\DETRAN_CONSOLIDADO\02_EMPENHOS\NE 007 Cobertura Financeira__34e5528f40.pdf;NE 007 Cobertura Financeira__34e5528f40.pdf;NE-2025-ID007_DETRAN_2025-01-02_520d33.pdf;DETRAN_CONSOLIDADO;NE;NE;0;007;DETRAN;2025-01-02
C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\DETRAN_CONSOLIDADO\02_EMPENHOS\NE 083 Cobertura Financeira.ocr.pdf;NE 083 Cobertura Financeira.ocr.pdf;NE-2020-ID083_DETRAN_2020-02-12_45d1b4.pdf;DETRAN_CONSOLIDADO;NE;NE;0;083;DETRAN;2020-02-12
C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\DETRAN_CONSOLIDADO\02_EMPENHOS\NE 038 Cobertura Financeira.pdf;NE 038 Cobertura Financeira.pdf;NE-2021-ID038_DETRAN_2021-01-29_44b35a.pdf;DETRAN_CONSOLIDADO;NE;NE;0;038;DETRAN;2021-01-29
C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\DETRAN_CONSOLIDADO\02_EMPENHOS\NE 1221 - Cobertura Financeira.pdf;NE 1221 - Cobertura Financeira.pdf;NE-2024-ID1221_DETRAN_2024-07-05_39ea4a.pdf;DETRAN_CONSOLIDADO;NE;NE;0;1221;DETRAN;2024-07-05
C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\DETRAN_CONSOLIDADO\02_EMPENHOS\NE 1225 - Cobertura Financeira.pdf;NE 1225 - Cobertura Financeira.pdf;NE-2024-ID1225_DETRAN_2024-07-05_f0a243.pdf;DETRAN_CONSOLIDADO;NE;NE;0;1225;DETRAN;2024-07-05
C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\DETRAN_CONSOLIDADO\02_EMPENHOS\NE 076 Cobertura Financeira.pdf;NE 076 Cobertura Financeira.pdf;NE-ID2022NE0000076_DETRAN_817374.pdf;DETRAN_CONSOLIDADO;NE;NE;0;2022NE0000076;DETRAN;
C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\DETRAN_CONSOLIDADO\02_EMPENHOS\NE 1224 - Cobertura Financeira.pdf;NE 1224 - Cobertura Financeira.pdf;NE-2024-ID1224_DETRAN_2024-07-05_ff884d.pdf;DETRAN_CONSOLIDADO;NE;NE;0;1224;DETRAN;2024-07-05
C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\DETRAN_CONSOLIDADO\02_EMPENHOS\NE 1232 Cobertura Financeira.ocr.pdf;NE 1232 Cobertura Financeira.ocr.pdf;NE-2019-ID1232_DETRAN_2019-11-22_623cce.pdf;DETRAN_CONSOLIDADO;NE;NE;0;1232;DETRAN;2019-11-22
C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\DETRAN_CONSOLIDADO\02_EMPENHOS\NE 1233 Cobertura Financeira.ocr.pdf;NE 1233 Cobertura Financeira.ocr.pdf;NE-2019-ID1233_DETRAN_2019-11-28_1c46f0.pdf;DETRAN_CONSOLIDADO;NE;NE;0;1233;DETRAN;2019-11-28
C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\DETRAN_CONSOLIDADO\02_EMPENHOS\NE 1226 Cobertura Financeira.pdf;NE 1226 Cobertura Financeira.pdf;NE-2024-ID1226_DETRAN_2024-07-05_a1277a.pdf;DETRAN_CONSOLIDADO;NE;NE;0;1226;DETRAN;2024-07-05
C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\DETRAN_CONSOLIDADO\02_EMPENHOS\NE 1085 Cobertura Financeira.pdf;NE 1085 Cobertura Financeira.pdf;NE-2023-ID1085_DETRAN_2023-06-02_ed5303.pdf;DETRAN_CONSOLIDADO;NE;NE;0;1085;DETRAN;2023-06-02
C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\DETRAN_CONSOLIDADO\02_EMPENHOS\NE 1250 Cobertura Financeira.ocr.pdf;NE 1250 Cobertura Financeira.ocr.pdf;NE-2018-ID2018NE01250_DETRAN_2018-11-23_6ea308.pdf;DETRAN_CONSOLIDADO;NE;NE;0;2018NE01250;DETRAN;2018-11-23
C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\DETRAN_CONSOLIDADO\02_EMPENHOS\NE 1231 Cobertura Financeira.pdf;NE 1231 Cobertura Financeira.pdf;NE-2022-ID1231_DETRAN_2022-08-23_3cf512.pdf;DETRAN_CONSOLIDADO;NE;NE;0;1231;DETRAN;2022-08-23
C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\DETRAN_CONSOLIDADO\02_EMPENHOS\NE 1243 Cobertura Financeira.ocr.pdf;NE 1243 Cobertura Financeira.ocr.pdf;NE-2019-ID1243_DETRAN_2019-11-27_2ef6bf.pdf;DETRAN_CONSOLIDADO;NE;NE;0;1243;DETRAN;2019-11-27
