caminho_original;nome_original;nome_novo;caminho_novo;sha256_antes;sha256_depois;tipo_final;status;erro
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\DETRAN_DOCUMENTACAO\03_EMPENHOS\htmls_brutos\empenho_DETRAN_view_9081.pdf;empenho_DETRAN_view_9081.pdf;INDEFINIDO_empenho_DETRAN_view_9081.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\DETRAN_DOCUMENTACAO\03_EMPENHOS\htmls_brutos\INDEFINIDO_empenho_DETRAN_view_9081.pdf;2984ded1d329d9e6bec57620210d41b1a89246309aa9612cfdcbf0d1a5a770f8;2984ded1d329d9e6bec57620210d41b1a89246309aa9612cfdcbf0d1a5a770f8;Indefinido;OK;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\DETRAN_DOCUMENTACAO\03_EMPENHOS\htmls_brutos\empenho_DETRAN_view_8926.pdf;empenho_DETRAN_view_8926.pdf;INDEFINIDO_empenho_DETRAN_view_8926.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\DETRAN_DOCUMENTACAO\03_EMPENHOS\htmls_brutos\INDEFINIDO_empenho_DETRAN_view_8926.pdf;81e38ee1b79f7c68a96ba528c9cd680409e11938dd33bd304e6ca7a4e3f1de91;81e38ee1b79f7c68a96ba528c9cd680409e11938dd33bd304e6ca7a4e3f1de91;Indefinido;OK;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\DETRAN_DOCUMENTACAO\03_EMPENHOS\htmls_brutos\empenho_DETRAN_view_9100.pdf;empenho_DETRAN_view_9100.pdf;INDEFINIDO_empenho_DETRAN_view_9100.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\DETRAN_DOCUMENTACAO\03_EMPENHOS\htmls_brutos\INDEFINIDO_empenho_DETRAN_view_9100.pdf;36605331519e142ba215dc74395b33650b1629dcf7c6957df1a57e5e42948a28;36605331519e142ba215dc74395b33650b1629dcf7c6957df1a57e5e42948a28;Indefinido;OK;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\DETRAN_DOCUMENTACAO\03_EMPENHOS\htmls_brutos\empenho_DETRAN_view_9039.pdf;empenho_DETRAN_view_9039.pdf;INDEFINIDO_empenho_DETRAN_view_9039.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\DETRAN_DOCUMENTACAO\03_EMPENHOS\htmls_brutos\INDEFINIDO_empenho_DETRAN_view_9039.pdf;b77954c4a87f4bb229c54ef2e80bbae7efa1364a849be2579dff1ff83c905052;b77954c4a87f4bb229c54ef2e80bbae7efa1364a849be2579dff1ff83c905052;Indefinido;OK;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\DETRAN_DOCUMENTACAO\03_EMPENHOS\htmls_brutos\empenho_DETRAN_view_8884.pdf;empenho_DETRAN_view_8884.pdf;INDEFINIDO_empenho_DETRAN_view_8884.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\DETRAN_DOCUMENTACAO\03_EMPENHOS\htmls_brutos\INDEFINIDO_empenho_DETRAN_view_8884.pdf;5f4d158df0f1adbf1bbd5a29b17fa44225a61c0eee56df54a73fe7a28dbdf54c;5f4d158df0f1adbf1bbd5a29b17fa44225a61c0eee56df54a73fe7a28dbdf54c;Indefinido;OK;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\DETRAN_DOCUMENTACAO\03_EMPENHOS\htmls_brutos\empenho_DETRAN_view_9034.pdf;empenho_DETRAN_view_9034.pdf;INDEFINIDO_empenho_DETRAN_view_9034.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\DETRAN_DOCUMENTACAO\03_EMPENHOS\htmls_brutos\INDEFINIDO_empenho_DETRAN_view_9034.pdf;1aaf8ee66f483182cdba770ac20115824c25a059b6dcaf12bf6ec5c36517f5a1;1aaf8ee66f483182cdba770ac20115824c25a059b6dcaf12bf6ec5c36517f5a1;Indefinido;OK;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\DETRAN_DOCUMENTACAO\03_EMPENHOS\htmls_brutos\empenho_DETRAN_view_9126.pdf;empenho_DETRAN_view_9126.pdf;INDEFINIDO_empenho_DETRAN_view_9126.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\DETRAN_DOCUMENTACAO\03_EMPENHOS\htmls_brutos\INDEFINIDO_empenho_DETRAN_view_9126.pdf;cb717153153a75e1e2c262f877cbebd95a69091292f4ef30ce6c4a055be1efba;cb717153153a75e1e2c262f877cbebd95a69091292f4ef30ce6c4a055be1efba;Indefinido;OK;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\DETRAN_DOCUMENTACAO\03_EMPENHOS\htmls_brutos\empenho_DETRAN_view_9136.pdf;empenho_DETRAN_view_9136.pdf;INDEFINIDO_empenho_DETRAN_view_9136.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\DETRAN_DOCUMENTACAO\03_EMPENHOS\htmls_brutos\INDEFINIDO_empenho_DETRAN_view_9136.pdf;9db1e2064eace1d21bdd38f6c7090894a5ee04293fc927c734bdeeed995100ec;9db1e2064eace1d21bdd38f6c7090894a5ee04293fc927c734bdeeed995100ec;Indefinido;OK;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\DETRAN_DOCUMENTACAO\03_EMPENHOS\htmls_brutos\empenho_DETRAN_view_9114.pdf;empenho_DETRAN_view_9114.pdf;INDEFINIDO_empenho_DETRAN_view_9114.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\DETRAN_DOCUMENTACAO\03_EMPENHOS\htmls_brutos\INDEFINIDO_empenho_DETRAN_view_9114.pdf;eb530ef68b9430a819c1decf547d744d31bffa9b6aa4716005ae79b3417d0871;eb530ef68b9430a819c1decf547d744d31bffa9b6aa4716005ae79b3417d0871;Indefinido;OK;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\DETRAN_DOCUMENTACAO\03_EMPENHOS\htmls_brutos\empenho_DETRAN_view_9118.pdf;empenho_DETRAN_view_9118.pdf;INDEFINIDO_empenho_DETRAN_view_9118.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\DETRAN_DOCUMENTACAO\03_EMPENHOS\htmls_brutos\INDEFINIDO_empenho_DETRAN_view_9118.pdf;a3e7db864386d4a7641960e070e8f1f488ceae2b06aff042e8df1ba3dbdc56fd;a3e7db864386d4a7641960e070e8f1f488ceae2b06aff042e8df1ba3dbdc56fd;Indefinido;OK;
