caminho;caminho_rel;raiz;nome;size_bytes;paginas;tem_texto;chars_p1;suspeito
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_11324_DETRAN.pdf;SPCF_EXTRACAO\pdfs_empenhos\empenho_11324_DETRAN.pdf;SPCF_EXTRACAO;empenho_11324_DETRAN.pdf;70630;2;1;1263;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_11554_DETRAN.pdf;SPCF_EXTRACAO\pdfs_empenhos\empenho_11554_DETRAN.pdf;SPCF_EXTRACAO;empenho_11554_DETRAN.pdf;70786;2;1;1263;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_11508_DETRAN.pdf;SPCF_EXTRACAO\pdfs_empenhos\empenho_11508_DETRAN.pdf;SPCF_EXTRACAO;empenho_11508_DETRAN.pdf;72139;2;1;1263;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_11514_DETRAN.pdf;SPCF_EXTRACAO\pdfs_empenhos\empenho_11514_DETRAN.pdf;SPCF_EXTRACAO;empenho_11514_DETRAN.pdf;71300;2;1;1263;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_11547_DETRAN.pdf;SPCF_EXTRACAO\pdfs_empenhos\empenho_11547_DETRAN.pdf;SPCF_EXTRACAO;empenho_11547_DETRAN.pdf;71078;2;1;1263;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_11781_DETRAN.pdf;SPCF_EXTRACAO\pdfs_empenhos\empenho_11781_DETRAN.pdf;SPCF_EXTRACAO;empenho_11781_DETRAN.pdf;70490;2;1;1263;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_11783_DETRAN.pdf;SPCF_EXTRACAO\pdfs_empenhos\empenho_11783_DETRAN.pdf;SPCF_EXTRACAO;empenho_11783_DETRAN.pdf;70837;2;1;1263;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_11564_DETRAN.pdf;SPCF_EXTRACAO\pdfs_empenhos\empenho_11564_DETRAN.pdf;SPCF_EXTRACAO;empenho_11564_DETRAN.pdf;73824;2;1;1263;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_11774_DETRAN.pdf;SPCF_EXTRACAO\pdfs_empenhos\empenho_11774_DETRAN.pdf;SPCF_EXTRACAO;empenho_11774_DETRAN.pdf;70814;2;1;1263;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_11841_DETRAN.pdf;SPCF_EXTRACAO\pdfs_empenhos\empenho_11841_DETRAN.pdf;SPCF_EXTRACAO;empenho_11841_DETRAN.pdf;70240;2;1;1263;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_11769_DETRAN.pdf;SPCF_EXTRACAO\pdfs_empenhos\empenho_11769_DETRAN.pdf;SPCF_EXTRACAO;empenho_11769_DETRAN.pdf;70485;2;1;1263;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_11549_DETRAN.pdf;SPCF_EXTRACAO\pdfs_empenhos\empenho_11549_DETRAN.pdf;SPCF_EXTRACAO;empenho_11549_DETRAN.pdf;71232;2;1;1263;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_12293_DETRAN.pdf;SPCF_EXTRACAO\pdfs_empenhos\empenho_12293_DETRAN.pdf;SPCF_EXTRACAO;empenho_12293_DETRAN.pdf;70241;2;1;1263;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_12294_DETRAN.pdf;SPCF_EXTRACAO\pdfs_empenhos\empenho_12294_DETRAN.pdf;SPCF_EXTRACAO;empenho_12294_DETRAN.pdf;70674;2;1;1263;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_12292_DETRAN.pdf;SPCF_EXTRACAO\pdfs_empenhos\empenho_12292_DETRAN.pdf;SPCF_EXTRACAO;empenho_12292_DETRAN.pdf;72052;2;1;1263;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_12295_DETRAN.pdf;SPCF_EXTRACAO\pdfs_empenhos\empenho_12295_DETRAN.pdf;SPCF_EXTRACAO;empenho_12295_DETRAN.pdf;70371;2;1;1263;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_12538_DETRAN.pdf;SPCF_EXTRACAO\pdfs_empenhos\empenho_12538_DETRAN.pdf;SPCF_EXTRACAO;empenho_12538_DETRAN.pdf;70721;2;1;1263;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_12296_DETRAN.pdf;SPCF_EXTRACAO\pdfs_empenhos\empenho_12296_DETRAN.pdf;SPCF_EXTRACAO;empenho_12296_DETRAN.pdf;70686;2;1;1263;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_12497_DETRAN.pdf;SPCF_EXTRACAO\pdfs_empenhos\empenho_12497_DETRAN.pdf;SPCF_EXTRACAO;empenho_12497_DETRAN.pdf;72220;2;1;1263;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_12530_DETRAN.pdf;SPCF_EXTRACAO\pdfs_empenhos\empenho_12530_DETRAN.pdf;SPCF_EXTRACAO;empenho_12530_DETRAN.pdf;70581;2;1;1263;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_12554_DETRAN.pdf;SPCF_EXTRACAO\pdfs_empenhos\empenho_12554_DETRAN.pdf;SPCF_EXTRACAO;empenho_12554_DETRAN.pdf;71573;2;1;1263;0
